"Nom_poste","Contrat","Description","Salaire","Experience","Entreprise"
"Ingénieur Data H/F","Contrat à durée indéterminée

Contrat travail","POSTE : Ingénieur Data H/F
DESCRIPTION : Dans le cadre de son programme de transformation, notre client a initié un projet Data ambitieux visant à moderniser, simplifier et harmoniser l'infrastructure Data. Ce projet comprend la refonte de la plateforme logicielle, l'optimisation du modèle data et l'amélioration des outils de reporting.

Le projet Data a pour objectif de suivre les directives fixées par le Groupe, tout en tenant compte des spécificités locales.

Phases de l'offre :
- Production des reportings par Azure DEVOPS, App Center, Git
- Participer à la mise en place des bonnes pratiques de développement.
- Concevoir et développer des rapports Power BI répondant aux besoins métiers.
- Rédiger la documentation technique (règles de transformation et d'alimentation de données, etc.).
- Développer et déployer l'industrialisation des rapports récurrents par Python dans l'architecture Data Azure Cloud.
PROFIL : Techniquement
- Votre cursus et votre expérience vous permettent d'avoir une bonne culture générale des systèmes d'informations et des environnements de production informatique
- Vous êtes familier de l'approche DEVOPS et maîtrisez le déploiement continu
- Vous avez occupé un rôle d'architecte ou de lead développer dans des environnements.NET/Web, notamment lors de projets au forfait

Humainement
- Esprit d'équipe, esprit de logique et envie d'apprendre
- Sensibilité données.
- Compréhension des besoins métier

L'environnement technique
- Livraison continue : Azure DEVOPS, App Center, Git
- Environnement Microsoft :.Net, Azure, ASP.net, C#, MVC, Micro-services
- Front end : Vue.JS, Angular, React, TypeScript, Micro-frontends
- BDD : SQLServer, Elastic Search, MongoDb
- EAI : Biztalk, Mirth
- Mobile : Xamarin, React Native
- Méthode de gestion de projet : Agile, Cycle en V","","Expérience exigée","Guarani"
"Data Design H/F","Contrat à durée indéterminée

Contrat travail","POSTE : Data Design H/F
DESCRIPTION : Nous renforçons nos équipes et nous recherchons un(e) Data Design (F/H) pour intervenir chez l'un de nos clients grands comptes.

Dans un environnement SAFe, dans le cadre Data centric;
- Vous serez en charge de la conception, de la modélisation et de l'optimisation des architectures de données au du groupe.

Missions :
- Conception de modèles de données : Définir et mettre en place des modèles de données adaptés aux besoins de l'entreprise, en prenant en compte les exigences fonctionnelles et les contraintes techniques.
- - Élaborer des architectures de données scalables et performantes en collaboration avec les architectes et les ingénieurs data.
- - Assurer la fluidité des échanges et des traitements de données en veillant à leur qualité et leur conformité.
- - Travailler en étroite collaboration avec les équipes métiers, IT, et Data Science pour comprendre les besoins et proposer des solutions adaptées.
- - Garantir la conformité des données avec les normes réglementaires et de sécurité en vigueur dans le secteur bancaire.
- - Documentation et partage de bonnes pratiques : Rédiger des documents de spécifications et de bonnes pratiques pour garantir une utilisation optimale des modèles de données.

Le salaire est négociable en fonction de votre expérience
Intéressement, transport 100%, panier repas, CE, mutuelle et prévoyance
PROFIL : - De formation universitaire ou ingénieur, vous justifiez d'une expérience réussie dans la valorisation de la donnée ou des projets de gouvernance de la Data.
- Maîtrise des outils de modélisation de données (Erwin, PowerDesigner, etc.).
- Bonne connaissance des systèmes de gestion de bases de données (SQL, NoSQL, etc.).
- Familiarité avec les solutions de Data Warehousing et d'intégration de données.
- Compétences en gestion de la qualité des données et en gouvernance des données.
- Ce challenge vous intéresse? Rejoignez nos équipes et ensemble donnons de la valeur à vos idées.","Salaire brut : Annuel de 48000,00 Euros à 65000,00 Euros","Expérience exigée","PARTENOR GROUPE"
"Data Manager Pim - Dam - Chef de Projet Pim - Dam H/F","Contrat à durée indéterminée

Contrat travail","POSTE : Data Manager Pim - Dam - Chef de Projet Pim - Dam H/F
DESCRIPTION : Pourquoi Notre société ?

Nous proposons la seule solution française développée 100% en france, et dite No-Code, permettant de gérer de la donnée multi-référentiel MDM Multi domaines. 
Cette solution déjà très performante à été enrichie de plusieurs modules clés.
- PIM (gestion des infos produits commercialisés avec personnalisation des données en multicanal),
- Un ou plusieurs DAM (Photothèque/médiathèque),
- Des contrôles de gestion, d'alertes, et workflows très poussés
- Un puissant module d'automatisation de tâches et d'Import/Export de données avec transformation de données à la volée, permettant d'alimenter sites de e-commerces et marketplaces du marché,
- Un outil de Publishing permettant de gérer du brief catalogue à la validation BAT des pages de catalogues, ainsi que la génération automatique de fiches produits PDF,
- Un Portail fournisseurs pour l'alimentation des données produits
- Un Portail distributeurs pour la mise à disposition des données produits.

Vos missions
- Paramétrage, configuration et adaptation de nos solutions PIM/DAM selon les besoins spécifiques des clients.
- Manipulation, traitement et importation de fichiers Excel et autres sources de données dans les systèmes PIM/DAM.
- Assurer la qualité des données, identifier et corriger les incohérences.
- Participer aux projets de migration et de reprise de données.
- Collaborer étroitement avec les équipes techniques et métier pour optimiser l'utilisation et la performance de nos outils PIM/DAM.
- Fournir une assistance et des formations techniques aux utilisateurs finaux et aux équipes internes.
- Documenter les processus et méthodes de travail liés à la gestion des données.
PROFIL : Vos qualifications et compétences
- Diplôme en informatique, gestion de l'information, e-commerce, ou un domaine connexe.
- Expérience prouvée dans la manipulation de gros ensembles de données, notamment via Excel ou des outils similaires.
- Aptitude à identifier et résoudre des problèmes liés aux données.
- Compréhension des besoins métiers et traduction en solutions techniques.
- Capacité à gérer plusieurs projets, respecter les délais et prioriser les tâches.
- Capacité à expliquer des informations techniques à des non-experts.
- Bonnes compétences en rédaction.
- Expérience d'au moins 2-3 ans dans la gestion des données et connaissance des outils PIM/DAM est un plus

À propos de vous
- Vous avez une expérience solide dans la gestion de données, idéalement avec les systèmes PIM/DAM.
- Vous maîtrisez Excel et avez une forte capacité à traiter, analyser et structurer d'importants volumes de données.
- Vous avez un esprit analytique et une attention particulière aux détails.
- Bonne communication, tant écrite qu'orale.
- Vous êtes autonome, organisé(e) et capable de gérer plusieurs projets simultanément.
- La connaissance des outils collaboratifs tels que Jira et Teams est un plus.
- Une première expérience dans le monde de l'e-commerce ou du retail est appréciée.

Ce que nous vous offrons
- Un environnement de travail stimulant avec des projets variés et innovants.
- Une équipe passionnée et collaborative.
- Des opportunités de formation et de développement professionnel.
- Poste en CDI.
- Salaire attractif basé sur l'expérience.
- Lieu : Voiron (38) / Lyon 02 Confluence, métro Sainte-Blandine.
- Tickets restaurants via carte Swile (50% pris en charge par l'entreprise), prime de vacances, mutuelle ALAN (50% pris en charge par l'entreprise)","Salaire brut : Annuel de 30000,00 Euros à 40000,00 Euros","Expérience exigée","AquisIT"
"Data Cloud Engineer H/F","Contrat à durée indéterminée

Contrat travail","POSTE : Data Cloud Engineer H/F
DESCRIPTION : Data Cloud Engineer F/H

Description de poste
Big Data, Data Science, Data analyse, Data architecture Ça n'a pas de secret pour vous ?
Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients.

Rejoignez notre centre d'excellence en innovation à Tours et rendez unique l'expérience digitale de nos clients en travaillant sur des sujets tels que le marketing digital, User eXperience, CRM, RPA, data, développement web et mobile, API management ou encore cybersécurité.

Fonctions et responsabilités
- Vous êtes passionné(e) par le domaine de la Data et avez déjà une expérience significative sur des problématiques de data engineering : construction de pipelines de données (batch/streaming), industrialisation d'applications data science, modélisation de base de données
- Vous disposez de solides connaissances sur les architectures de données et le cloud (AWS, GCP ou Azure).

Vos missions sont :
- Analyser, conseiller, et faire des recommandations de façon à améliorer l'efficience et l'efficacité des solutions mises en place
- Travailler en collaboration avec les ingénieurs techniques et autres experts afin de rechercher et fournir des réponses aux problématiques techniques
- Réaliser les travaux d'implémentation des solutions (préparation des données, industrialisation des modèles, communications entre les différentes technologies)
- Produire les projets en mode agile avec des processus et outils de développement de dernière génération (DEVOPS, Git, CI/CD)
- Participer à l'élaboration et la révision de normes / documentation technique
- Animer des formations internes.
- Accompagner la montée en compétences des équipes
- Assurer un support technique aux équipes Data et aux clients au quotidien

En rejoignant CGI, vous bénéficiez notamment d'une offre complète de formations (techniques, métiers, développement personnel), de flexibilité grâce à notre accord télétravail (jusqu'à 3 jours de télétravail par semaine), d'une politique de congés avantageuse (27 jours de congés payés, RTT, congés ancienneté et enfant malade) et d'un package d'avantages intéressant (régime d'achats d'actions, participation, CSE).

Qualités requises pour réussir dans ce rôle
- Passionné(e) d'informatique et de données, vous aimez le travail en équipe, apprendre et partager.
- Vous êtes également doté(e) d'un esprit audacieux et ambitieux.
- Vous faites preuve d'initiative et travaillez sur le long terme.
- Vous avez un minimum de 2 années d'expérience sur des projets Cloud (AWS, GCP ou Azure).
- Vous maitrisez un ou plusieurs services : Snowflake, Synapse, Databricks, Azure DEVOPS, Terraform, BigQuery, EC2, S3, Lambda, Redshift, EMR, Kinesis, DynamoDB etc.

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l'évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+. Dans un souci d'accessibilité et de clarté, le point médian n'est pas utilisé dans cette annonce. Tous les termes employés se réfèrent aussi bien au genre féminin que masculin.

Ensemble, en tant que propriétaires, mettons notre savoir-faire à l'oeuvre.

La vie chez CGI est ancrée dans l'actionnariat, le travail d'équipe, le respect et un sentiment d'appartenance. Chez nous, vous pourrez exploiter votre plein potentiel parce que

Nous vous invitons à devenir propriétaire dès le jour 1 alors que nous travaillons ensemble à faire de notre rêve une réalité. C'est pourquoi nous nous désignons comme associés de CGI, plutôt que comme employés. Nous tirons profit des retombées de notre succès collectif et contribuons activement à l'orientation et à la stratégie de notre entreprise.

Votre travail crée de la valeur. Vous élaborerez des solutions novatrices et développerez des relations durables avec vos collègues et clients, tout en ayant accès à des capacités mondiales pour concrétiser vos idées, saisir de nouvelles opportunités, et bénéficier d'une expertise sectorielle et technologique de pointe.

Vous ferez évoluer votre carrière en vous joignant à une entreprise bâtie pour croître et durer. Vous serez soutenus par des leaders qui ont votre santé et bien-être à coeur et qui vous permettront de saisir des occasions afin de parfaire vos compétences et élargir les horizons.

Joignez-vous à nous, l'une des plus importantes entreprises de conseil en technologie de l'information (TI) et en management au monde.
PROFIL :","","Expérience exigée","CGI"
"Juriste Contrats - Ntic - Data Privacy H/F","Contrat à durée indéterminée

Contrat travail","POSTE : Juriste Contrats - Ntic - Data Privacy H/F
DESCRIPTION : Au sein de la direction juridique du groupe, vous interviendrez principalement en droit des contrats NTIC en renfort de l'équipe et en protection des données personnelles en support du DPO dans les domaines suivants :
Accompagnement de l'activité commerciale des business units :
· Assister et conseiller lors des phases de négociation, de rédaction et de suivi de contrats sur toutes les problématiques ayant trait aux services et solutions propres aux activités du groupe Talan (prestations de services, intégration de solutions, SAAS, maintenance, TMA, assistance technique, cyber), ainsi que les contrats ad hoc dans le domaine des NTIC (intelligence artificielle, digital, data intelligence, smart automation, cloud, RPA) ;
· Conseiller, accompagner et élaborer des schémas contractuels adaptés aux besoins des Business Units, en leur apportant un support efficace favorisant le développement de leurs activités et leurs relations contractuels;
· Assurer une veille législative et réglementaire en évaluant l'impact des nouvelles réglementations, (Data Act, IA Act, Dora) et conseiller à leur mise en oeuvre.
Protection des données personnelles :
· Assister l'équipe DPO dans la mise en oeuvre et le respect de la réglementation en matière de protection des données à caractère personnel.;
· Suivre et contrôler la conformité RGPD des activités et des différents projets ;
· Maintenir et enrichir les dispositifs en matière de respect du RGPD en support du DPO ;
Cette liste n'est pas exhaustive.
Nos avantages :
- Locaux dans le coeur du 16ème arrondissement de Paris
- Télétravail jusqu'à 3 jours par semaine, prime d'équipement de 100 €
- Actionnariat salarié
- Proximité et convivialité cultivées à tous les niveaux de l'entreprise (Great Place to Work depuis 10 ans, Top 5 des entreprises où il fait bon travailler depuis 5 ans)
- Permanence handicap (consultant dédié aux collaborateurs en situation de handicap et aux proches aidants).
- Offre de formation complète sur site et à distance, programme de mentoring pour les femmes
- Mobilité en France et à l'étranger
- Mutuelle prise en charge à partir de 80%
- Primes de cooptation de 500 à 4000 €
PROFIL : Pourquoi vous ?

Vous êtes titulaire d'un 3e cycle en droit avec une dominante en nouvelles technologies (incluant la protection des données à caractère personnelle et la propriété intellectuelle) ; LLM et DJCE

Vous justifiez d'au moins 3 ans d'expérience, en entreprise ou cabinet, dans les secteurs informatiques et/ou technologiques.

Vous parlez et écrivez l'anglais. Votre excellente communication et votre sens du relationnel vous permettent d'interagir efficacement avec différents interlocuteurs.

Vous faites preuve d'agilité et d'ouverture d'esprit afin d'agir en véritable partenaire business.

Rigoureux et pragmatique, vous savez gérer les priorités et conduire vos dossiers de manière autonome

Alors Rejoignez-nous et créez votre propre terrain de jeux !","","Expérience exigée","Talan"
"CDD Data Scientist Spécialisé en Computer Vision Nlp et Llm H/F","Contrat à durée déterminée - 10 Mois

Contrat travail","POSTE : CDD Data Scientist Spécialisé en Computer Vision Nlp et Llm H/F
DESCRIPTION : CDD 10 mois Data Scientist spécialisé en Computer vision, NLP et LLM F/H

Au sein de la Direction IARD, et plus particulièrement de l'équipe Data Tarification, Statistiques et Pilotages Transverse, votre rôle consiste à intervenir en tant qu'expert dans la manipulation des données, la modélisation et la data science.
Rejoignez une équipe pluri disciplinaires  et contribuez activement aux déploiements de solutions innovantes !

Et concrètement ?
Data Science et modélisation actuarielle :
- Résolution de problèmes analytiques, statistiques et d'apprentissage automatique (Machine Learning, Deep Learning, NLP)
- Participer aux projets de recherche et de développement en NLP, en se concentrant sur les modèles de langage de dernière génération
- Exploiter des LLM tels que GPT, BERT, et autres, pour créer des applications innovantes dans le domaine du traitement automatique du langage
- Interpréter les résultats pour améliorer la performance des modèles de langage
- Être l'expert en data science, modélisation sémantique et algorithmes NLP,
- Développement de nos pocs d'IA pour extraire des informations clés de nos documents afin d'améliorer la connaissance du risque et des modèles tarifaires
- Participer à l'industrialisation des produits de DS conjointement avec les équipes informatiques
- Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins métiers (Computer Vision)
- Développer le parc de modèles actuariels et d'intelligences artificielles sur tous les sujets d'études, de tarification et de pilotage du risque.
- Maintenir une veille technologique.
- Continuer de se former sur les meilleures pratiques du domaine et partager ses résultats avec l'équipe.
- Collaborer à la conception et la construction de nouvelles expérimentations basées sur des modèles d'IA et l'IA générative.
- Elaboration de modèles algorithmiques prédictifs d'aide à la décision

Encore une hésitation sur les atouts de ce poste ?
- Etre au coeur de l'activité IARD.
- Participer à des travaux innovants.
- Participer au développement de l'intelligence artificielle au service de la prise de décision
Du fait de sa position et son impact sur les chiffres clés de l'entreprise, ce poste combine deux éléments essentiels et interdépendants : la manipulation de données et la création de modèles prédictifs, et la proximité au business de l'entreprise et sa bonne compréhension.

Et si c'était vous ?
- Master en informatique, linguistique computationnelle, IA, ou un domaine connexe, avec spécialisation en NLP
- 2-3 années d'expérience professionnelle dans des projets NLP, avec une expertise en LLM
- Forte maîtrise des algorithmes de machine learning, deep learning et NLP
- Avec une expérience significative sur des projets de Data Science et sur de la gestion de projet Data avec des équipes en multi sites.
- L'application de modèles dans un contexte réel et la bonne compréhension de leurs biais et impacts est un vrai plus.
- Déjà la connaissance d'une Plateforme CLOUD
- Maîtrise ou capacité à développer une expertise sur Azure Databricks
- Disposant d'excellentes qualités relationnelles
- Qualités de formalisme, de vulgarisation et de communication
- Goût pour le travail en équipe, forte motivation et implication
- Autonomie et force de proposition

Covéa est un groupe mutualiste engagé, constitué des marques MAAF, MMA, GMF et du réassureur PartnerRe.
Acteur économique majeur des territoires, grâce à ses  

24 000 collaborateurs,

Covéa protège plus de 11 millions de clients et sociétaires en France.

Rejoignez le leader de l'assurance, contribuez à sa réussite : votre talent, notre engagement !
PROFIL :","","Expérience exigée","Groupe Covéa"
"Business Analyst Data H/F","Contrat à durée indéterminée

Contrat travail","POSTE : Business Analyst Data H/F
DESCRIPTION : Dans le cadre du projet de transformation du système d'information (SI) de notre client dans le secteur de l'assurance de personnes, nous recherchons un ou une spécialiste en mapping de données. Tu seras responsable de cartographier et de structurer les données issues des flux éditiques vers des maquettes de courriers destinées aux clients. 
 
Tes missions seront les suivantes :
- Analyser et comprendre les flux de données éditiques : étudier les sources et les formats de données pour optimiser leur intégration;
- Réaliser le mapping entre les flux et les maquettes de courriers : garantir la conformité des données avec les exigences des modèles de courriers;
- Organiser et structurer une base de connaissances : documenter les processus et organiser une base de connaissances pour une gestion optimale des données et une meilleure accessibilité des informations;
- Tester et valider les mappings : assurer la qualité et la cohérence des données dans les courriers produits;
- Collaborer avec les équipes techniques et métiers : faciliter la communication entre les différentes parties prenantes pour un alignement optimal.
Titre restaurant, mutuelle Employeur, RTT, CSE, achat d'actions, prime vacance
PROFIL : Peu importe ton diplôme, si tu as une passion pour la gestion et l'organisation des données, et que tu souhaites contribuer à l'optimisation des flux éditiques d'une grande entreprise, cette mission est faite pour toi.

Nous recherchons :
- Expérience en mapping de données et traitement de flux éditiques;
- Connaissance des métiers de l'assurance de personnes;
- Connaissance en fichiers XML et manipulations de ce type de données;
- Très bonne capacité à organiser et à documenter une base de connaissances;
- Bonnes qualités analytiques et sens du détail, capacité à travailler en équipe.","Salaire brut : Annuel de 40000,00 Euros à 47000,00 Euros","Expérience exigée","Alithya"
"Data Scientist H/F","Contrat à durée indéterminée

Contrat travail","POSTE : Data Scientist H/F
DESCRIPTION : Organe central du Groupe, BPCE SA assure la coordination, la cohérence et les synergies entre les différentes marques pour porter les ambitions du Projet du Groupe BPCE 2024.

Les missions confiées à nos collaborateurs offrent une vision transversale des enjeux économiques et stratégiques du Groupe.

Vos missions au sein de l'équipe

Nous recherchons un Data Scientist spécialisé en NLP (Traitement du Langage Naturel) pour rejoindre notre équipe. Le candidat idéal devra avoir une solide expérience dans l'analyse de données, le développement de modèles NLP pour résoudre des problèmes complexes, ainsi qu'une expérience confirmée dans la conduite de projets innovants en intelligence artificielle. Ses principales responsabilités consisteront à collecter, nettoyer, analyser et interpréter de grandes quantités de données textuelles afin d'aider à prendre des décisions commerciales éclairées.

Ses missions s'articuleront autour de 4 piliers principaux
- Récupération de données : Collecte et préparation d'ensembles de données pertinents pour l'entraînement des modèles NLP, en veillant à leur qualité et à leur représentativité. Collaboration avec les équipes techniques pour l'étiquetage des données lorsque nécessaire.
- Modélisation : Mise en oeuvre de modèles de classification supervisés (analyse des sentiments, NER) et non supervisés (Clustering) ainsi que des modèles d'IA génératifs (LLM). Surveillance et amélioration des modèles existants.
- Collaboration interfonctionnelle : Collaboration avec le métier pour améliorer les produits existants et créer de nouvelles fonctionnalités. Discussion avec le service informatique pour créer l'infrastructure nécessaire à la mise en production des différents modèles et projets.
- Innovation et Optimisation : Curiosité permanente à l'égard des nouvelles technologies dans le domaine du NLP afin d'identifier les cas d'utilisation potentiels dans le cadre de projets existants. Participation à l'orientation de la thèse CIFRE en cours.

Vos atouts pour réussir

Nous recherchons un Data Scientist possédant au moins 4 ans d'expérience, avec une expertise significative dans les projets NLP. Les compétences requises comprennent la capacité à gérer efficacement les projets, d'excellentes compétences en communication écrite et orale, et la capacité à travailler avec divers profils, y compris techniques, métiers et de management. Une expérience de travail en méthode agile est souhaitée.

Sur le plan technique, une maîtrise de Python, PyTorch, Keras, TensorFlow, Hugging Face et les Transformers est nécessaire. Une expérience en développement industriel sur Azure est un atout. Le candidat doit être un résolveur de problèmes collaborant étroitement avec les équipes techniques telles que les Data/Cloud Ingenieer, les analystes de données, les concepteurs UX/UI et les PO pour surmonter les défis techniques.

Des connaissances en services cloud, idéalement Microsoft Azure et GCP, pour le développement et le déploiement de solutions basées sur l'IA sont également nécessaires. Une capacité à travailler en étroite collaboration avec les équipes métiers pour identifier les besoins en matière d'analyse de données textuelles est attendue.

Le candidat devra être en mesure de créer des outils et des visualisations pour communiquer clairement et efficacement les résultats de l'analyse de données. Il devra également contribuer à l'amélioration continue des modèles NLP existants et à l'exploration de nouvelles techniques et méthodologies.

Pourquoi nous rejoindre ?

Un Groupe engagé dans le développement de ses collaborateurs
- Des opportunités professionnelles au sein de l'ensemble du groupe BPCE, avec la possibilité de bénéficier d'accompagnements sur-mesure (parcours d'upskilling / reskilling, LinkedIn Learning)
- Un modèle managérial favorisant la mise en responsabilité et la prise d'initiatives

Un Groupe engagé dans les enjeux sociétaux et environnementaux
- Le Groupe BPCE place le climat comme priorité d'action de tous ses métiers et de toutes ses entreprises. Trois objectifs sont fixés : aligner tous ses portefeuilles sur une trajectoire ""net zéro"", accompagner ses clients dans leur transition environnementale, et réduire sa propre empreinte.
- En quelques chiffres la RSE dans le Groupe :
   - 1erfinanceur de l'économie sociale et solidaire avec 15.9 Md€ d'encours
   - 35 Md€ d'encours de financement de la transition énergétique
   - 6 millions d'emplois soutenus grâce à l'activité des réseaux BP et CE

Être un employeur inclusif à travers des politiques fortes en termes de mixité, d'équilibre des temps de vie, de santé au","","Expérience exigée","BPCE SA"
"Analyste Audit IT & Data Pwc Montpellier CDI H/F","Contrat à durée indéterminée

Contrat travail","POSTE : Analyste Audit IT & Data Pwc Montpellier CDI H/F
DESCRIPTION : Ce qui rend l'audit des systèmes d'information et processus stratégique ?

La digitalisation croissante des transactions, la résilience et la sécurité des systèmes d'information sont des enjeux clés pour l'ensemble des parties prenantes. Pour créer de la confiance, l'évaluation des risques et la fiabilisation des systèmes d'information sont au coeur de la stratégie pour fiabiliser la production des états financiers,, en étroite collaboration avec nos équipes d'audit financier.

C'est le rôle de nos collaborateurs. Et ils y arrivent d'autant plus facilement avec la collaboration de la communauté d'experts PwC en France et à l'international.

Bienvenue dans l'audit du futur !

L'opportunité :

Vous rejoignez l'équipe SODA basée à Montpellier et constituée d'une soixantaine de data analystes Finance & IT, spécialiste de l'audit, de la gestion des risques IT et de l'implémentation de solutions technologiques avancées.

Vous intégrez PwC France, principal acteur de l'audit et de la gestion des risques, où vous travaillerez au sein d'équipes pluridisciplinaires (auditeurs financiers, experts cybersécurité) et échangerez avec le DSI, le RSSI et les différents responsables de nos clients dans un large éventail de secteurs d'activité (distribution, pharmaceutique, énergie, télécommunications, banque, assurance).

Vous aurez l'opportunité de développer différentes expertises métiers, sectorielles et techniques en participant à des missions d'audit IT, de gestion et maîtrise des risques liés au système d'information, de revue d'implémentation de systèmes IT et de migration des données.

Vous contribuerez également à l'audit par des initiatives technologiques (analyse de données, automatisation / IA, datavisualisation) en utilisant les meilleures pratiques existantes sur le marché.

Vous bénéficiez également de formations et d'un coaching rapproché tout au long de votre parcours professionnel au sein de PwC. Acquérir une double compétence Audit IT / Data Analyst sera un atout stratégique pour votre carrière dans un monde digitalisé.

Ce que vous pouvez attendre de la mission :
- Auditer des systèmes d'information (comptable, financier ou métier) sous-tendant la production et l'élaboration d'états financiers, notamment sur les contrôles généraux informatiques (ITGCs) liés à la sécurité informatique, aux évolutions et changements et à l'exploitation, ainsi que sur les projets d'implémentation de système,
- Echanger au quotidien avec des interlocuteurs de haut niveau chez nos clients (DSI, RSSI, responsables informatiques), afin de les accompagner à appréhender les risques autour de leurs grands enjeux technologiques,
- Utiliser les outils spécialisés développés par PwC pour l'audit ainsi que les meilleurs outils du marché pour l'analyse des données (Alteryx, Tableau, Power BI, ACE, Optics), et développer des compétences en ingénierie des données et en datavisualisation,
- Automatiser et réinventer nos missions d'audit en mettant en oeuvre des technologies innovantes et réaliser de la Data acquisition sur les grands ERP du marché (SAP, Oracle, JDE, AX).

Vous verrez, vous serez surpris par la richesse de ce métier ! Grâce à nos outils digitaux, à nos méthodes reconnues et à notre accompagnement sans faille, vous deviendrez rapidement un expert !

Vous gagnerez rapidement en responsabilités et deviendrez acteur de votre carrière chez PwC.

Ce que nous attendons de vous :
- Profil Bac +3, Bac +5
- Vous êtes diplômé(e) d'une École de Commerce, d'Ingénieur ou d'une Université avec un intérêt pour les SI et la DATA,
- Vous démontrez une appétence forte pour la technologie,
- Rigoureux, organisé, votre esprit d'équipe allié à votre excellent relationnel vous permettront de réussir et de grandir au sein de notre cabinet,
- Vous êtes flexible afin de pouvoir vous adapter à différents environnements,
- Vous disposez d'un niveau d'anglais opérationnel afin d'intervenir au sein d'environnements internationaux.

On ne va pas se mentir, on est un cabinet de conseil et d'auditmais pas tout à fait comme les autres.

Accompagner nos clients dans leur transformation, c'est notre métier. Nous rejoindre, c'est bien sûr la garantie d'acquérir une expertise reconnue. Mais nous vous proposons bien plus. Une expérience unique. Celle d'apprendre tous les jours et de grandir en fonction de vos envies, d'évoluer dans un environnement au service de votre bien-être, d'avoir les meilleurs atouts digitaux entre les mains, de travailler au sein d'équipes pluridisciplinaires et internationales, et même d'agir pour la société. Parce que pour nous, l'humain","","Expérience exigée","PwC"
"Data Analyst en Alternance - Bac+3 - 4 H/F","Contrat à durée déterminée - 24 Mois

Contrat apprentissage","POSTE : Data Analyst en Alternance - Bac+3 - 4 H/F
DESCRIPTION : Description du poste

Toi qui cherches une alternance en tant que Data Analyst, cette annonce est faite pour toi ! 
Yutopia Meta Campus Paris recrute pour un de ses partenaires, une agence indépendante spécialisée dans le développement web et l'animation 3D, un(e) Data Analyst.

Yutopia ? Comment ? Tu ne connais pas ?! C'est LA formation premium qui garantit ton employabilité ! Notre école a pour mission de t'offrir une formation en alternance d'excellence dans le domaine et de t'assurer un emploi après ta formation.

À propos de l'alternance : Si tu es titulaire d'un Bac +3 et que tu souhaites poursuivre tes études dans un domaine prometteur, ce poste est fait pour toi ! La formation débute en octobre 2024 avec un rythme d'alternance de 3 semaines en entreprise et 1 semaine en cours.

Tes missions, si tu les acceptes :
- Développer et maintenir des pipelines de données : Concevoir des processus robustes et performants de collecte et de transformation des données issues des différents établissements du groupe, en utilisant SQL, PL/SQL, Python, et Java.
- Assurer la qualité et l'intégrité des données : Mettre en place des processus rigoureux de validation et de nettoyage pour garantir des données fiables et exploitables.
- Optimiser les bases de données et infrastructures de stockage : Améliorer les performances sur des bases comme MySQL, MongoDB, Cassandra, et Neo4j, en s'assurant d'une gestion efficace du stockage.
- Collaborer avec les équipes de Data Science : Travailler en étroite collaboration avec les Data Scientists et autres parties prenantes pour identifier et répondre aux besoins spécifiques en données.
- S'intégrer dans un environnement DEVOPS : Utiliser des outils tels que Docker et Kubernetes pour gérer efficacement les environnements de développement et de production.
- Documenter et modéliser les processus : Formaliser les flux de données via les méthodologies MERISE et UML.
- Optimiser l'environnement de développement : Utiliser VSCode pour garantir efficacité et collaboration.
Compétences appréciées :

Langage Data

SQL, PL/SQL, python(data), JAVA (data)

DEVOPS

Docker, Kubernetes

Logiciels

VSCode

Méthodologies

MERISE, UML

Base de données

MySQL, MongoDB, Cass

andra (Data), neo4j(data)

Avantages :
- Prise en charge du transport quotidien
- Travail à domicile occasionnel

Langue :
- Anglais (Optionnel)

Lieu du poste : En présentiel
PROFIL : Nous recherchons un(e) candidat(e) adaptable, curieux(se), et désireux(se) de s'investir dans un environnement technique riche et exigeant. Le poste sera évolutif en fonction de tes compétences et de tes progrès.","","Débutant accepté","Yutopia Meta Campus"
